"","account","subaccount","type","date","num","adj","name","memo","split","debit","credit","balance"
"112","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-04-05,"3070",NA,"Foster Lighting","Cust ID#0987-01A","Accounts Payable",0,705,41644.92
"113","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-04-05,"3071",NA,"Paulsen's Lighting",NA,"Accounts Payable",0,20950,20694.92
"114","Company Checking Account","Company Checking Account","Check",2018-04-09,"5082",NA,"Gas & Electic Company","ACCT# 098703","Utilities",0,25.12,20669.8
"115","Company Checking Account","Company Checking Account","Paycheck",2018-04-15,"3015",NA,"Bolinski, Rafal",NA,"-SPLIT-",0,310.78,20359.02
"116","Company Checking Account","Company Checking Account","Paycheck",2018-04-15,"3016",NA,"Deen, Jeannette",NA,"-SPLIT-",0,218.96,20140.06
"117","Company Checking Account","Company Checking Account","Deposit",2018-04-15,NA,NA,NA,"Deposit","-SPLIT-",3111,0,23251.06
"118","Company Checking Account","Company Checking Account","Liability Check",2018-04-15,"5349",NA,"Local Bank","55-5555555","-SPLIT-",0,1201.2,22049.86
"119","Company Checking Account","Company Checking Account","Paycheck",2018-04-16,"3014",NA,"King, Vicki",NA,"-SPLIT-",0,130.64,21919.22
"120","Company Checking Account","Company Checking Account","Check",2018-04-16,"5087",NA,"Automobile Loan Company","Car lease","Car Lease",0,563,21356.22
"121","Company Checking Account","Company Checking Account","Liability Check",2018-04-16,"5086",NA,"Sec125 Administrator","Acct#  870547","SEC125 Payable",0,100,21256.22
"122","Company Checking Account","Company Checking Account","Check",2018-04-20,"5088",NA,"Novello Lights Magazine","Q2 07 Ad","Advertising Expense",0,500,20756.22
"123","Company Checking Account","Company Checking Account","Check",2018-04-23,"5090",NA,"Office Supply Store","Acct# 27804","Supplies",0,120,20636.22
"124","Company Checking Account","Company Checking Account","Check",2018-04-23,"5091",NA,"Cell Phone Company","Cell","Telephone",0,100.23,20535.99
"125","Company Checking Account","Company Checking Account","Check",2018-04-23,"5094",NA,"Local Phone Company","6503221414","Telephone",0,203.56,20332.43
"126","Company Checking Account","Company Checking Account","Check",2018-04-23,"5093",NA,"Jonathan Graham (reimbursments)","3103 Expense Report","-SPLIT-",0,115.63,20216.8
"127","Company Checking Account","Company Checking Account","Check",2018-04-23,"5089",NA,"King, Vicki",NA,"-SPLIT-",0,54.12,20162.68
"128","Company Checking Account","Company Checking Account","Check",2018-04-23,"5095",NA,"Deborah Wood (Owner)","33103 Exp Report","-SPLIT-",0,1249.54,18913.14
"129","Company Checking Account","Company Checking Account","Check",2018-04-23,"5096",NA,"Jeff's Janitorial","supplies","Maintenance/Janitorial",0,157,18756.14
"130","Company Checking Account","Company Checking Account","Check",2018-04-23,"5097",NA,"Fisse Fast Package Delivery","ACCT# 256044025","Postage and Delivery",0,78,18678.14
"131","Company Checking Account","Company Checking Account","Check",2018-04-23,"5092",NA,"Department of Automobiles","Auto Registration","Registration & License",0,546,18132.14
"132","Company Checking Account","Company Checking Account","Check",2018-04-25,"5099",NA,"Health Insurance Co.","Employee Health Insurance Policy#258BVF4","-SPLIT-",0,543.83,17588.31
"133","Company Checking Account","Company Checking Account","Check",2018-04-25,"5098",NA,"Pace Shipping Supplies","Acct# 45980","Office Equipment",0,25,17563.31
"134","Company Checking Account","Company Checking Account","Check",2018-04-25,"5100",NA,"Deborah Wood (Owner)","Owner's Draw","Deborah Wood Draws",0,11750,5813.31
"135","Company Checking Account","Company Checking Account","Check",2018-04-26,"5101",NA,"Payroll Service Co.","April Payroll","Payroll Service Fees",0,142,5671.31
"136","Company Checking Account","Company Checking Account","Check",2018-04-30,"5106",NA,"Jeff's Janitorial","Monthly Fees","Maintenance/Janitorial",0,200,5471.31
"137","Company Checking Account","Company Checking Account","Check",2018-04-30,"5104",NA,"Automobile Insurance Company","Auto Insurance Policy # 14906","Insurance-Auto",0,120,5351.31
"138","Company Checking Account","Company Checking Account","Check",2018-04-30,"5105",NA,"Credit Card","ACCT# 3786401297855001","QuickBooks Credit Card",0,143.75,5207.56
"139","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-04-30,"5102",NA,"Fisse Fast Package Delivery","ACCT# 256044025","Accounts Payable",0,164,5043.56
"140","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-04-30,"5103",NA,"Printing Shop","Inv#","Accounts Payable",0,285,4758.56
"141","Company Checking Account","Company Checking Account","Deposit",2018-04-30,NA,NA,NA,"Deposit","Undeposited Funds",3025,0,7783.56
"142","Company Checking Account","Company Checking Account","Check",2018-05-01,"5107",NA,"Kuver Property","May Rent","Rent",0,583.75,7199.81
"143","Company Checking Account","Company Checking Account","Paycheck",2018-05-01,"3016",NA,"King, Vicki",NA,"-SPLIT-",0,30.64,7169.17
"144","Company Checking Account","Company Checking Account","Paycheck",2018-05-01,"3017",NA,"Bolinski, Rafal",NA,"-SPLIT-",0,310.78,6858.39
"145","Company Checking Account","Company Checking Account","Paycheck",2018-05-01,"3018",NA,"Deen, Jeannette",NA,"-SPLIT-",0,218.96,6639.43
"146","Company Checking Account","Company Checking Account","Deposit",2018-05-01,NA,NA,NA,"Deposit","-SPLIT-",34194.85,0,40834.28
"147","Company Checking Account","Company Checking Account","Check",2018-05-04,"5109",NA,"Local Bank","Interest on Line of Credit Apr 07","Interest Expense",0,82.98,40751.3
"148","Company Checking Account","Company Checking Account","Check",2018-05-04,"5108",NA,"Gretton Insurance Co.","May 07 WC Policy # 87023, Gen Liab. #14B09","-SPLIT-",0,461.84,40289.46
"149","Company Checking Account","Company Checking Account","Check",2018-05-08,"5110",NA,"Gas & Electic Company","ACCT# 098703","Utilities",0,22.1,40267.36
"150","Company Checking Account","Company Checking Account","Liability Check",2018-05-13,"5350",NA,"Local Bank","55-5555555","-SPLIT-",0,1122.37,39144.99
"151","Company Checking Account","Company Checking Account","Liability Check",2018-05-13,"5351",NA,"Local Bank","55-5555555","-SPLIT-",0,1015.63,38129.36
"152","Company Checking Account","Company Checking Account","Check",2018-05-15,"5115",NA,"Lawson Professional Seminars, Inc.","Summer Seminar #707","Conferences and Seminars",0,350,37779.36
"153","Company Checking Account","Company Checking Account","Paycheck",2018-05-15,"3018",NA,"King, Vicki",NA,"-SPLIT-",0,30.64,37748.72
"154","Company Checking Account","Company Checking Account","Check",2018-05-15,"5116",NA,"Automobile Loan Company","Car lease","Car Lease",0,563,37185.72
"155","Company Checking Account","Company Checking Account","Liability Check",2018-05-15,"5114",NA,"Sec125 Administrator","Acct#  870547","SEC125 Payable",0,100,37085.72
"156","Company Checking Account","Company Checking Account","Transfer",2018-05-15,NA,NA,NA,"Funds Transfer","Line of Credit",25000,0,62085.72
"157","Company Checking Account","Company Checking Account","Paycheck",2018-05-15,"3019",NA,"Bolinski, Rafal",NA,"-SPLIT-",0,310.78,61774.94
"158","Company Checking Account","Company Checking Account","Paycheck",2018-05-15,"3020",NA,"Deen, Jeannette",NA,"-SPLIT-",0,218.96,61555.98
"159","Company Checking Account","Company Checking Account","Deposit",2018-05-16,NA,NA,NA,"Deposit","-SPLIT-",10525,0,72080.98
"160","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-05-20,"3072",NA,"Foster Lighting",NA,"Accounts Payable",0,5550,66530.98
"161","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-05-20,"3073",NA,"Hall Lighting & Accessories",NA,"Accounts Payable",0,6747.5,59783.48
"162","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-05-20,"3074",NA,"Paulsen's Lighting",NA,"Accounts Payable",0,7925,51858.48
"163","Company Checking Account","Company Checking Account","Check",2018-05-22,"5120",NA,"Cell Phone Company","Cell","Telephone",0,107.45,51751.03
"164","Company Checking Account","Company Checking Account","Check",2018-05-22,"5117",NA,"Local Phone Company","6503221414","Telephone",0,197.25,51553.78
"165","Company Checking Account","Company Checking Account","Check",2018-05-22,"5118",NA,"Deborah Wood (Owner)","Petty Cash","-SPLIT-",0,482.57,51071.21
"166","Company Checking Account","Company Checking Account","Check",2018-05-22,"5119",NA,"Accounting Firm","2006 Tax Returns","Accounting Fees",0,1554,49517.21
"167","Company Checking Account","Company Checking Account","Check",2018-05-22,"5121",NA,"Fisse Fast Package Delivery","ACCT# 256044025","Postage and Delivery",0,78,49439.21
"168","Company Checking Account","Company Checking Account","Check",2018-05-23,"5122",NA,"Office Supply Store","Acct# 27804","Supplies",0,327.16,49112.05
"169","Company Checking Account","Company Checking Account","Check",2018-05-25,"5125",NA,"Health Insurance Co.","Employee Health Insurance Policy#258BVF4","-SPLIT-",0,543.83,48568.22
"170","Company Checking Account","Company Checking Account","Check",2018-05-25,"5126",NA,"Pace Shipping Supplies","Acct# 45980","Office Equipment",0,25,48543.22
"171","Company Checking Account","Company Checking Account","Check",2018-05-25,"5127",NA,"Payroll Service Co.","Payroll  Fee","Payroll Service Fees",0,129,48414.22
"172","Company Checking Account","Company Checking Account","Check",2018-05-25,"5124",NA,"Deborah Wood (Owner)","Owner's Draw","Deborah Wood Draws",0,12000,36414.22
"173","Company Checking Account","Company Checking Account","Check",2018-05-31,"5131",NA,"Jeff's Janitorial","Monthly Fees","Maintenance/Janitorial",0,200,36214.22
"174","Company Checking Account","Company Checking Account","Check",2018-05-31,"5133",NA,"Automobile Insurance Company","Auto Insurance Policy # 14906","Insurance-Auto",0,120,36094.22
"175","Company Checking Account","Company Checking Account","Check",2018-05-31,"5132",NA,"Credit Card","ACCT# 3786401297855001","QuickBooks Credit Card",0,65,36029.22
"176","Company Checking Account","Company Checking Account","Check",2018-05-31,"5134",NA,"Jonathan Graham (reimbursments)","Seminar Travel","Travel",0,191,35838.22
"177","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-05-31,"5129",NA,"Fisse Fast Package Delivery","ACCT# 256044025","Accounts Payable",0,164,35674.22
"178","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-05-31,"5130",NA,"Printing Shop","Inv#","Accounts Payable",0,160,35514.22
"179","Company Checking Account","Company Checking Account","Check",2018-06-01,"5135",NA,"Kuver Property","June Rent","Rent",0,583.75,34930.47
"180","Company Checking Account","Company Checking Account","Paycheck",2018-06-01,"3020",NA,"King, Vicki",NA,"-SPLIT-",0,130.64,34799.83
"181","Company Checking Account","Company Checking Account","Paycheck",2018-06-01,"3021",NA,"Bolinski, Rafal",NA,"-SPLIT-",0,310.78,34489.05
"182","Company Checking Account","Company Checking Account","Paycheck",2018-06-01,"3022",NA,"Deen, Jeannette",NA,"-SPLIT-",0,218.96,34270.09
"183","Company Checking Account","Company Checking Account","Deposit",2018-06-02,NA,NA,NA,"Deposit","-SPLIT-",14735.85,0,49005.94
"184","Company Checking Account","Company Checking Account","Check",2018-06-04,"5136",NA,"Local Bank","Interest on Line of Credit May 07","Interest Expense",0,125.89,48880.05
"185","Company Checking Account","Company Checking Account","Check",2018-06-04,"5137",NA,"Gretton Insurance Co.","June 07 WC Policy # 87023, Gen Liab. #14B09","-SPLIT-",0,461.84,48418.21
"186","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-06-05,"3075",NA,"Foster Lighting",NA,"Accounts Payable",0,2840,45578.21
"187","Company Checking Account","Company Checking Account","Check",2018-06-12,"5139",NA,"Gas & Electic Company","ACCT# 098703","Utilities",0,22.07,45556.14
"188","Company Checking Account","Company Checking Account","Paycheck",2018-06-15,"3022",NA,"King, Vicki",NA,"-SPLIT-",0,30.64,45525.5
